sido_cd,sido,sigungu,emd,ri,jibun,bcode
11,서울특별시,도봉구,방학동,"",방학동 673-39,1132010600
11,서울특별시,동작구,노량진동,"",노량진동 294-182,1159010100
11,서울특별시,서초구,우면동,"",우면동 598-21,1165010300
11,서울특별시,노원구,월계동,"",월계동 429-11,1135010200
11,서울특별시,마포구,성산동,"",성산동 249-15,1144012500
11,서울특별시,강북구,미아동,"",미아동 137-84,1130510100
11,서울특별시,용산구,한남동,"",한남동 792-1,1117013100
11,서울특별시,서대문구,북아현동,"",북아현동 121-17,1141011000
11,서울특별시,마포구,상수동,"",상수동 330-4,1144011500
11,서울특별시,성북구,정릉동,"",정릉동 760-56,1129013300
11,서울특별시,영등포구,양평동5가,"",양평동5가 20-3,1156012900
11,서울특별시,영등포구,대림동,"",대림동 926-6,1156013300
11,서울특별시,동대문구,장안동,"",장안동 316-14,1123010600
11,서울특별시,구로구,고척동,"",고척동 52-82,1153010600
11,서울특별시,강동구,길동,"",길동 101-2,1174010500
11,서울특별시,송파구,방이동,"",방이동 190-8,1171011100
11,서울특별시,동작구,노량진동,"",노량진동 235-19,1159010100
11,서울특별시,은평구,신사동,"",신사동 29-165,1138010900
11,서울특별시,서대문구,충정로3가,"",충정로3가 3-96,1141010200
11,서울특별시,송파구,마천동,"",마천동 26-9,1171011400
26,부산광역시,강서구,강동동,"",강동동 2465,2644010300
26,부산광역시,강서구,송정동,"",송정동 1740-4,2644010900
26,부산광역시,영도구,남항동2가,"",남항동2가 30-9,2620010600
26,부산광역시,기장군,정관읍,매학리,정관읍 달산리 938-10,2671025622
26,부산광역시,금정구,서동,"",서동 302-1471,2641011000
26,부산광역시,기장군,정관읍,매학리,정관읍 달산리 1112-12,2671025622
26,부산광역시,기장군,정관읍,매학리,정관읍 달산리 1113-4,2671025622
26,부산광역시,동구,범일동,"",범일동 830-72,2617010400
26,부산광역시,사하구,신평동,"",신평동 11-135,2638010400
26,부산광역시,남구,문현동,"",문현동 757-20,2629010900
26,부산광역시,강서구,화전동,"",화전동 567-6,2644011000
26,부산광역시,사하구,감천동,"",감천동 482-12,2638010800
26,부산광역시,사하구,괴정동,"",괴정동 495-25,2638010100
26,부산광역시,강서구,미음동,"",미음동 1570-11,2644011500
26,부산광역시,영도구,동삼동,"",동삼동 504-5,2620012100
26,부산광역시,부산진구,당감동,"",당감동 436-9,2623010900
26,부산광역시,동구,좌천동,"",좌천동 681-36,2617010300
26,부산광역시,사상구,삼락동,"",삼락동 73-3,2653010100
26,부산광역시,해운대구,반송동,"",반송동 7-243,2635010100
26,부산광역시,부산진구,부암동,"",부암동 320-275,2623010800
27,대구광역시,달성군,구지면,창리,구지면 창리 383,2771038021
27,대구광역시,서구,비산동,"",비산동 90-39,2717010200
27,대구광역시,군위군,소보면,송원리,소보면 송원리 200,2772031026
27,대구광역시,동구,도동,"",도동 978-386,2714010700
27,대구광역시,동구,신기동,"",신기동 547-4,2714011700
27,대구광역시,달성군,가창면,단산리,가창면 단산리 398,2771031027
27,대구광역시,남구,봉덕동,"",봉덕동 1361-101,2720010200
27,대구광역시,수성구,상동,"",상동 407-6,2726010900
27,대구광역시,서구,중리동,"",중리동 38-4,2717010500
27,대구광역시,달서구,본동,"",본동 723-1,2729012400
27,대구광역시,달서구,두류동,"",두류동 106-3,2729010200
27,대구광역시,동구,둔산동,"",둔산동 1041-7,2714011200
27,대구광역시,서구,평리동,"",평리동 942,2717010300
27,대구광역시,서구,내당동,"",내당동 27-33,2717010100
27,대구광역시,달서구,죽전동,"",죽전동 404-21,2729011200
27,대구광역시,서구,비산동,"",비산동 704-34,2717010200
27,대구광역시,수성구,중동,"",중동 617-168,2726010800
27,대구광역시,북구,동천동,"",동천동 928-4,2723012400
27,대구광역시,수성구,매호동,"",매호동 1030,2726011500
27,대구광역시,북구,팔달동,"",팔달동 236-1,2723012800
30,대전광역시,동구,홍도동,"",홍도동 6-14,3011011700
30,대전광역시,서구,괴정동,"",괴정동 95-1,3017010800
30,대전광역시,대덕구,송촌동,"",송촌동 500-3,3023010700
30,대전광역시,서구,용문동,"",용문동 251-18,3017010500
30,대전광역시,대덕구,중리동,"",중리동 370-16,3023010900
30,대전광역시,중구,호동,"",호동 10-20,3014010800
30,대전광역시,대덕구,덕암동,"",덕암동 62-14,3023011500
30,대전광역시,유성구,봉명동,"",봉명동 1045-11,3020011100
30,대전광역시,중구,대흥동,"",대흥동 240-46,3014010500
30,대전광역시,대덕구,석봉동,"",석봉동 178-14,3023011100
30,대전광역시,서구,갈마동,"",갈마동 1138,3017011100
30,대전광역시,중구,대흥동,"",대흥동 307-5,3014010500
30,대전광역시,중구,옥계동,"",옥계동 61-2,3014010900
30,대전광역시,대덕구,오정동,"",오정동 498-1,3023010100
30,대전광역시,유성구,구룡동,"",구룡동 129-2,3020015300
30,대전광역시,동구,자양동,"",자양동 75-25,3011011100
30,대전광역시,유성구,하기동,"",하기동 527-1,3020013200
30,대전광역시,대덕구,중리동,"",중리동 194-9,3023010900
30,대전광역시,유성구,외삼동,"",외삼동 83-1,3020013800
30,대전광역시,유성구,어은동,"",어은동 104-3,3020012300
31,울산광역시,중구,성안동,"",성안동 872-1,3111010900
31,울산광역시,동구,방어동,"",방어동 461-1,3117010100
31,울산광역시,울주군,온양읍,대안리,온양읍 대안리 720-22,3171025622
31,울산광역시,동구,방어동,"",방어동 1164-6,3117010100
31,울산광역시,울주군,상북면,소호리,상북면 소호리 17,3171038033
